Company,Region,Country,Sector,Industry,ESG,E,G,S,GC,ROA 2022,ROA 2021,ROA 2020
"Guangzhou Automobile Group Co., Ltd.",Asia,China,Consumer Durables,Motor Vehicles,48.61,52.71,43.33,46.44,63.27,2.5,2.8,5.3
China Tower Corp. Ltd.,Asia,China,Communications,Specialty Telecommunications,53.6,57.38,46.02,55.45,56.68,6.3,1.2,3.4
"Hainan Airlines Holding Co., Ltd.",Asia,China,Transportation,Airlines,44.99,43.8,45.57,45.94,49.26,2.6,4.2,5.2
"Didi Global, Inc.",Asia,China,Transportation,Other Transportation,42.61,42.19,44.17,42.13,42.62,1.3,4.6,3.5
"Zhuzhou CRRC Times Electric Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,45.92,47.43,45.02,43.99,58.58,2.8,1.2,3.1
Klabin SA,South America,Brazil,Non-Energy Minerals,Forest Products,61.55,65.39,54.96,57.18,64.23,6.1,6.4,3.5
"Huadong Medicine Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,49.63,48.28,43.65,52.15,56.69,3.1,3,3.5
"NIO, Inc.",Asia,China,Consumer Durables,Motor Vehicles,53.47,56.64,50.99,50.79,44.7,3.6,4.2,3.2
Trip.com Group Ltd.,Asia,China,Consumer Services,Other Consumer Services,51.82,47.23,50.75,55.78,43.06,3.1,7.8,5.3
"Foshan Haitian Flavouring & Food Co., Ltd.",Asia,China,Consumer Non-Durables,Food: Specialty/Candy,48.01,49.88,46.39,46.41,58.95,3.1,1.2,2.3
InterGlobe Aviation Ltd.,Asia,India,Transportation,Airlines,51.77,52.91,53.19,48.41,58.97,5.3,3.2,3.2
Adani Energy Solutions Ltd.,Asia,India,Utilities,Electric Utilities,60.27,62.78,61.01,55.33,58.7,9.6,6.4,5.4
"Fuyao Glass Industry Group Co., Ltd.",Asia,China,Consumer Durables,Home Furnishings,56.82,62.72,46.02,55.12,62.44,2.4,6.4,4.3
"GF Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,44.55,50.87,48.38,39.06,62.99,1.6,2.1,1.2
Bharti Airtel Ltd.,Asia,India,Communications,Wireless Telecommunications,58.53,55.93,60.16,59.96,61.83,4.2,5.6,5.4
"Guangzhou Baiyunshan Pharmaceutical Holdings Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,46.26,49.86,46.32,45.21,60.46,1.3,2.1,2.3
Godrej Consumer Products Ltd.,Asia,India,Consumer Non-Durables,Household/Personal Care,53.22,52.75,49.13,55.81,69.18,5.7,6.8,4.6
