Company,Region,Country,Sector,Industry,ESG,E,G,S,GC,ROA 2023,Entity Name,gc_262
"Yihai Kerry Arawana Holdings Co., Ltd.",Asia,China,Consumer Non-Durables,Food: Major Diversified,52.18,52.37,54.14,51.48,64.65,4.50,Tata Steel Ltd.,72.45
Banco do Brasil SA,South America,Brazil,Finance,Major Banks,52.81,52.34,53.68,52.45,66.33,3.20,Huaneng Lancang River Hydropower Inc.,57.64
"JA Solar Technology Co., Ltd.",Asia,China,Producer Manufacturing,Trucks/Construction/Farm Machinery,47.60,49.70,46.66,44.73,66.84,4.40,China Railway Group Ltd.,59.70
CRRC Corp. Ltd.,Asia,China,Producer Manufacturing,Trucks/Construction/Farm Machinery,49.53,53.67,42.91,47.07,64.22,3.20,"Haitong Securities Co., Ltd.",59.26
"BOE Technology Group Co., Ltd.",Asia,China,Electronic Technology,Electronic Equipment/Instruments,45.42,46.96,45.14,44.01,67.51,2.10,"WuXi AppTec Co., Ltd.",66.17
Britannia Industries Ltd.,Asia,India,Consumer Non-Durables,Food: Specialty/Candy,53.80,53.00,51.65,55.71,57.66,5.60,"Rongsheng Petrochemical Co., Ltd.",62.02
"China Pacific Insurance (Group) Co., Ltd.",Asia,China,Finance,Multi-Line Insurance,51.92,67.37,44.84,47.79,49.98,4.30,"Guangzhou Baiyunshan Pharmaceutical Holdings Co., Ltd.",60.46
"S.F. Holding Co., Ltd.",Asia,China,Transportation,Air Freight/Couriers,49.65,49.24,45.16,56.22,65.20,2.37,Telefonica Brasil SA,66.56
"Shandong Gold Mining Co., Ltd.",Asia,China,Non-Energy Minerals,Precious Metals,51.07,55.02,44.32,49.77,57.73,4.70,Wipro Ltd.,62.92
Telefonica Brasil SA,South America,Brazil,Communications,Specialty Telecommunications,56.78,66.43,47.83,53.65,66.56,5.20,"TBEA Co., Ltd.",60.41
"Everbright Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,44.00,41.59,47.20,42.73,59.00,3.80,"Shenwan Hongyuan Group Co., Ltd.",57.28
"AVIC Shenyang Aircraft Co., Ltd.",Asia,China,Electronic Technology,Aerospace & Defense,43.22,47.85,40.77,38.60,47.38,3.90,"Didi Global, Inc.",42.62
"Shanghai Electric Group Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,53.40,56.16,49.21,51.90,65.13,5.30,"China Coal Energy Co., Ltd.",59.61
CMOC Group Ltd.,Asia,China,Distribution Services,Wholesale Distributors,60.71,64.54,52.70,60.70,65.68,6.40,"Li Ning Co., Ltd.",62.46
"Wanhua Chemical Group Co., Ltd.",Asia,China,Process Industries,Industrial Specialties,48.58,53.74,41.36,45.32,70.42,3.20,"Chongqing Rural Commercial Bank Co., Ltd.",59.71
"Ping An Bank Co., Ltd.",Asia,China,Finance,Major Banks,55.21,58.03,54.41,54.46,59.21,4.60,"Baoshan Iron & Steel Co., Ltd.",67.84
China State Construction Engineering Corp. Ltd.,Asia,China,Industrial Services,Engineering & Construction,47.88,50.15,43.45,46.54,67.44,3.20,Divi's Laboratories Ltd.,58.72
HDFC Bank Ltd.,Asia,India,Finance,Regional Banks,55.79,67.46,58.58,43.71,52.79,4.40,"EVE Energy Co., Ltd.",65.51
"Bank of Nanjing Co., Ltd.",Asia,China,Finance,Regional Banks,49.20,59.03,44.02,48.18,58.94,3.60,Dongfang Electric Corp. Ltd.,54.80
"Nongfu Spring Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Non-Alcoholic,59.74,59.76,52.98,62.43,67.88,6.70,NOVATEK JSC,65.77
"Sungrow Power Supply Co., Ltd.",Asia,China,Electronic Technology,Semiconductors,53.74,55.11,46.77,54.91,69.96,4.30,"Hithink RoyalFlush Information Network Co., Ltd.",43.44
"Guangdong Haid Group Co., Ltd.",Asia,China,Process Industries,Agricultural Commodities/Milling,52.01,55.08,44.07,51.12,53.88,2.10,"Sungrow Power Supply Co., Ltd.",69.96
"Citic Pacific Special Steel Group Co., Ltd.",Asia,China,Non-Energy Minerals,Steel,53.55,56.55,50.44,50.33,56.75,4.50,"JD Health International, Inc.",63.10
Inner Mongolia Baotou Steel Union Co. Ltd.,Asia,China,Non-Energy Minerals,Steel,43.76,45.33,42.42,41.70,52.88,6.40,"Everbright Securities Co., Ltd.",59.00
"AECC Aviation Power Co., Ltd.",Asia,China,Electronic Technology,Aerospace & Defense,46.64,49.96,44.04,43.38,55.00,3.20,China Life Insurance Co. Ltd.,54.95
"Flat Glass Group Co., Ltd.",Asia,China,Process Industries,Industrial Specialties,49.86,51.41,47.24,49.04,65.19,3.70,China Tourism Group Duty Free Corp. Ltd.,60.16
Titan Co. Ltd.,Asia,India,Consumer Durables,Other Consumer Specialties,54.14,53.30,53.65,55.10,62.34,2.50,"Shanghai Pharmaceuticals Holding Co., Ltd.",57.26
Huaneng Lancang River Hydropower Inc.,Asia,China,Utilities,Electric Utilities,45.51,45.52,43.28,47.93,57.64,5.60,"NAURA Technology Group Co., Ltd.",61.19
"Li Ning Co., Ltd.",Asia,China,Consumer Non-Durables,Apparel/Footwear,51.34,51.10,55.80,49.25,62.46,13.50,"Tongwei Co., Ltd.",71.92
"Ganfeng Lithium Group Co., Ltd.",Asia,China,Process Industries,Chemicals: Specialty,58.64,67.54,48.75,51.30,65.77,4.20,China Energy Engineering Corp. Ltd.,59.47
Tata Consultancy Services Ltd.,Asia,India,Technology Services,Information Technology Services,52.51,54.34,52.39,51.23,65.18,4.60,"Fuyao Glass Industry Group Co., Ltd.",62.44
Haidilao International Holding Ltd.,Asia,China,Consumer Services,Restaurants,50.46,54.20,49.53,46.97,56.00,4.20,Bank of Baroda,49.68
"Hangzhou Hikvision Digital Technology Co., Ltd.",Asia,China,Electronic Technology,Telecommunications Equipment,48.59,47.69,47.68,50.05,65.41,1.50,State Bank of India,49.91
"BYD Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,47.96,47.49,45.60,50.02,53.30,3.20,Power Grid Corp. of India Ltd.,61.73
"Pharmaron Beijing Co., Ltd.",Asia,China,Commercial Services,Miscellaneous Commercial Services,49.76,52.75,47.77,49.62,63.83,5.70,H World Group Ltd.,54.74
"Beijing Kingsoft Office Software, Inc.",Asia,China,Technology Services,Packaged Software,39.60,42.12,40.81,36.93,53.12,4.20,ICICI Bank Ltd.,55.06
"BYD Electronic (International) Co., Ltd.",Asia,China,Electronic Technology,Electronic Production Equipment,47.37,50.64,50.94,41.89,54.08,4.60,"Tsingtao Brewery Co., Ltd.",53.67
"NARI Technology Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,49.20,50.08,45.43,50.88,62.72,3.20,"Shenzhen Transsion Holding Co., Ltd.",57.35
HCL Technologies Ltd.,Asia,India,Technology Services,Information Technology Services,50.98,55.22,52.00,47.17,64.90,4.50,"SDIC Power Holdings Co., Ltd.",61.35
"Shanghai International Airport Co., Ltd.",Asia,China,Transportation,Other Transportation,41.13,43.33,41.06,40.35,49.41,3.10,"Wuliangye Yibin Co., Ltd.",62.44
Transneft PJSC,Europe,Russian Federation,Industrial Services,Oil & Gas Pipelines,52.66,53.28,45.42,59.04,52.93,5.70,"B3 SA-Brasil, Bolsa, Balcão",62.54
Hindustan Unilever Ltd.,Asia,India,Consumer Non-Durables,Household/Personal Care,55.36,60.54,51.42,52.05,64.24,7.60,"PICC Property & Casualty Co., Ltd.",58.89
